tweet_dt,topic,id,username,name,number of followers,tweet,tag_type,tag,sentiment,polarity,like_count,reply_count,retweet_count,account_start_date,verified_user,location,total number of tweets
2020-09-18,Pakistan,1306813944862998532,GujjarJobs,Nadeem Anjum Gujjar,157,"The Khyber Pass links which two countries?
Afghanistan and Pakistan",,Khyber Pass,POSITIVE,0.7471418976783752,0,0,0,2012-03-13 07:40:41,False,Kot Gujjran Multan,2958
2020-09-18,Pakistan,1306813944862998532,GujjarJobs,Nadeem Anjum Gujjar,157,"The Khyber Pass links which two countries?
Afghanistan and Pakistan",,Afghanistan,POSITIVE,0.7471418976783752,0,0,0,2012-03-13 07:40:41,False,Kot Gujjran Multan,2958
2020-09-18,Pakistan,1306813944862998532,GujjarJobs,Nadeem Anjum Gujjar,157,"The Khyber Pass links which two countries?
Afghanistan and Pakistan",,Pakistan,POSITIVE,0.7471418976783752,0,0,0,2012-03-13 07:40:41,False,Kot Gujjran Multan,2958
2020-09-18,Pakistan,1306813944632242176,HBaarot,Hiren Barot,0,@IMRANKH51363466 @ReallySwara Terror means Islam. Horrible. They marriage with their sisters. Rediculous.  They sta… https://t.co/YFkcg3ux6e,,Islam,NEGATIVE,-0.999961256980896,0,0,0,2017-11-25 12:06:45,False,,91
2020-09-18,Pakistan,1306813943285862401,krab09,Prasad Karambelkar,46,"Suddenly everyone wants to nonch India. Nepal came up with new Maps, Pakistan doing the same. We can very well conn… https://t.co/PiBA65B2QX",,India,POSITIVE,0.8822751641273499,0,0,0,2009-10-24 11:01:40,False,"Bengaluru, India",4460
2020-09-18,Pakistan,1306813943285862401,krab09,Prasad Karambelkar,46,"Suddenly everyone wants to nonch India. Nepal came up with new Maps, Pakistan doing the same. We can very well conn… https://t.co/PiBA65B2QX",,Nepal,POSITIVE,0.8822751641273499,0,0,0,2009-10-24 11:01:40,False,"Bengaluru, India",4460
2020-09-18,Pakistan,1306813943285862401,krab09,Prasad Karambelkar,46,"Suddenly everyone wants to nonch India. Nepal came up with new Maps, Pakistan doing the same. We can very well conn… https://t.co/PiBA65B2QX",,Pakistan,POSITIVE,0.8822751641273499,0,0,0,2009-10-24 11:01:40,False,"Bengaluru, India",4460
2020-09-18,Pakistan,1306813879641542656,pardhu_leo,NRC & UCC Next 🇮🇳 Jai Shri Ram🚩,2072,Entire humanity except #Pakistan #China https://t.co/BzAX0rkJDS,,Pakistan,NEGATIVE,-0.9881457090377808,0,0,0,2013-08-13 06:38:31,False,Bharat,83423
2020-09-18,Pakistan,1306813879641542656,pardhu_leo,NRC & UCC Next 🇮🇳 Jai Shri Ram🚩,2072,Entire humanity except #Pakistan #China https://t.co/BzAX0rkJDS,,China,NEGATIVE,-0.9881457090377808,0,0,0,2013-08-13 06:38:31,False,Bharat,83423
2020-09-18,Pakistan,1306813879641542656,pardhu_leo,NRC & UCC Next 🇮🇳 Jai Shri Ram🚩,2072,Entire humanity except #Pakistan #China https://t.co/BzAX0rkJDS,Hashtag,#Pakistan,NEGATIVE,-0.9881457090377808,0,0,0,2013-08-13 06:38:31,False,Bharat,83423
2020-09-18,Pakistan,1306813879641542656,pardhu_leo,NRC & UCC Next 🇮🇳 Jai Shri Ram🚩,2072,Entire humanity except #Pakistan #China https://t.co/BzAX0rkJDS,Hashtag,#China,NEGATIVE,-0.9881457090377808,0,0,0,2013-08-13 06:38:31,False,Bharat,83423
2020-09-18,Pakistan,1306813878773395457,abidhussainuk,PTI,230,@FaisalJavedKhan @StateBank_Pak Can you transfer money from existing bank accounts in pakistan into the new roshan digital bank account?,,pakistan,NEGATIVE,-0.9691168665885925,0,0,0,2013-03-01 17:44:56,False,UK,10725
2020-09-18,Pakistan,1306813850919088130,BhambriKastura,Kastura Bhambri,705,"A country whr terrorists carrying guns can roam more freely than women on streets!
Welcm 2 Islamic Republic of Paki… https://t.co/vtG33vN53n",,Islamic Republic of Paki,NEGATIVE,-0.9658317565917969,0,0,0,2020-01-22 04:20:56,False,"India, Los Angeles",664
2020-09-18,Pakistan,1306813841595006976,KabirMohit,Mohit Pandey,344,"The PM seemed to have taken the luxury of having Pakistan at hand for granted, and ignored the fact that the nation… https://t.co/KSqliQqxgA",,Pakistan,NEGATIVE,-0.9865169525146484,0,0,0,2013-11-14 18:01:01,False,Gaya ✈️ New Delhi ✈️ Gaya,783
2020-09-18,Pakistan,1306813838474358784,KabirMohit,Mohit Pandey,344,"The prime minister made an error of judgement when he said, “Hum Bajrang Bali ki jai bolkar upar se chale gaye” whi… https://t.co/qJzenjYqOp",,Hum Bajrang Bali,NEGATIVE,-0.9986016154289246,0,0,0,2013-11-14 18:01:01,False,Gaya ✈️ New Delhi ✈️ Gaya,783
2020-09-18,Pakistan,1306813833693089793,HarisKhalil10,Haris Khalil,3101,@Shanzayhere It's better to create individual Pakistan,,Shanzayhere,NEGATIVE,-0.9962087869644165,0,0,0,2017-03-31 11:33:53,False,Lahore pakistan ,58027
2020-09-18,Pakistan,1306813833693089793,HarisKhalil10,Haris Khalil,3101,@Shanzayhere It's better to create individual Pakistan,,Pakistan,NEGATIVE,-0.9962087869644165,0,0,0,2017-03-31 11:33:53,False,Lahore pakistan ,58027
2020-09-18,Pakistan,1306813825216323585,etcnews_tv,EtcNews_tv,1187,Reko Diq Case || Some facts behind the Fine || Pakistan Wins || Siddique Jaan #RekoDiqCase #SiddiqueJaan https://t.co/Iyq2nYn9uo,,Siddique Jaan,POSITIVE,0.9863198399543762,0,0,0,2015-12-25 12:49:55,False,Pakistan,74713
2020-09-18,Pakistan,1306813825216323585,etcnews_tv,EtcNews_tv,1187,Reko Diq Case || Some facts behind the Fine || Pakistan Wins || Siddique Jaan #RekoDiqCase #SiddiqueJaan https://t.co/Iyq2nYn9uo,Hashtag,#RekoDiqCase,POSITIVE,0.9863198399543762,0,0,0,2015-12-25 12:49:55,False,Pakistan,74713
2020-09-18,Pakistan,1306813825216323585,etcnews_tv,EtcNews_tv,1187,Reko Diq Case || Some facts behind the Fine || Pakistan Wins || Siddique Jaan #RekoDiqCase #SiddiqueJaan https://t.co/Iyq2nYn9uo,Hashtag,#SiddiqueJaan,POSITIVE,0.9863198399543762,0,0,0,2015-12-25 12:49:55,False,Pakistan,74713
2020-09-18,Pakistan,1306813800486596608,bumblebee1925,OMR,9,"Another example of Pakistan following their Boss China!

What China is doing with Uyghurs,  Pakistan is doing with… https://t.co/LgrEoTMQVR",,Pakistan,NEGATIVE,-0.9992493987083435,0,0,0,2012-07-22 12:18:20,False,,9
2020-09-18,Pakistan,1306813800486596608,bumblebee1925,OMR,9,"Another example of Pakistan following their Boss China!

What China is doing with Uyghurs,  Pakistan is doing with… https://t.co/LgrEoTMQVR",,China,NEGATIVE,-0.9992493987083435,0,0,0,2012-07-22 12:18:20,False,,9
2020-09-18,Pakistan,1306813800486596608,bumblebee1925,OMR,9,"Another example of Pakistan following their Boss China!

What China is doing with Uyghurs,  Pakistan is doing with… https://t.co/LgrEoTMQVR",,China,NEGATIVE,-0.9992493987083435,0,0,0,2012-07-22 12:18:20,False,,9
2020-09-18,Pakistan,1306813800486596608,bumblebee1925,OMR,9,"Another example of Pakistan following their Boss China!

What China is doing with Uyghurs,  Pakistan is doing with… https://t.co/LgrEoTMQVR",,Uyghurs,NEGATIVE,-0.9992493987083435,0,0,0,2012-07-22 12:18:20,False,,9
2020-09-18,Pakistan,1306813800486596608,bumblebee1925,OMR,9,"Another example of Pakistan following their Boss China!

What China is doing with Uyghurs,  Pakistan is doing with… https://t.co/LgrEoTMQVR",,Pakistan,NEGATIVE,-0.9992493987083435,0,0,0,2012-07-22 12:18:20,False,,9
2020-09-18,Pakistan,1306813797013782528,adeelakbarsidd1,Adeel Akbar,27,@madehanaqvi i think aap kay pass information nhi Angen Altan (Eurtugal) 2times pakistan ka visit kar chukay hain.… https://t.co/ud0Rt5DGe3,,Angen Altan,POSITIVE,0.7188882231712341,0,0,0,2014-08-30 21:41:26,False,"کراچی, پاکستان",1011
2020-09-18,Pakistan,1306813797013782528,adeelakbarsidd1,Adeel Akbar,27,@madehanaqvi i think aap kay pass information nhi Angen Altan (Eurtugal) 2times pakistan ka visit kar chukay hain.… https://t.co/ud0Rt5DGe3,,Eurtugal,POSITIVE,0.7188882231712341,0,0,0,2014-08-30 21:41:26,False,"کراچی, پاکستان",1011
2020-09-18,Pakistan,1306813778026135553,bhaveshlohar,Bhavesh Lohar,37,@Singh1Raji @UsamaShakoor16 @republic Let him be any which ways pakistan is on verge of getting blacklisted by FATF,,pakistan,NEGATIVE,-0.9867809414863586,0,0,0,2011-07-01 07:14:58,False,"Mumbai, India",2664
2020-09-18,Pakistan,1306813778026135553,bhaveshlohar,Bhavesh Lohar,37,@Singh1Raji @UsamaShakoor16 @republic Let him be any which ways pakistan is on verge of getting blacklisted by FATF,,FATF,NEGATIVE,-0.9867809414863586,0,0,0,2011-07-01 07:14:58,False,"Mumbai, India",2664
